		Cap̃ . i. 	0
		quo didunt po anime 	1
		et in quibus potentiis habent 	2
0	Postquam auxiliante Deo compleuimus primam partem huius primi libri, 	esse uirtutes |Ostquam auxiliante deo compleuimus primam partem huius primi libri. 	3|4
1	in quo agitur de regimine sui, 	in quo agitur de regimiue sui. 	5
2	ostendentes in quo Reges et Principes 	ostendentes |quo reges 	6|7
3	suam felicitatem debeant ponere, 	et principe ᷤᷤ suam felicitatem pone debeant. 	8
4	quia non decet eos suum finem ponere in diuitiis, 	quia non decet eos suum finem ponere in diuiciis. 	9
5|6	nec in ciuili potentia, |nec in aliquibus talibus, 	nec in ciuili potentia nec in aliquibus talibus. 	10
7	sed omnibus his 	sed omnibus hiis 	11
		ut supra plenius probatur 	12
8	(ut supra plenius probabatur) debent uti tanquam organis ad felicitatem. 	debent |uti tanquam organis ad felicitatem. 	13|14
9	Suam autem felicitatem ponere debent in actu prudentiae, 	suam autem felicitatem ponere debent 	15
10	prout talis actus est imperatus a charitate: 	in actu prudentie prout talis actus est inperatus a caritate. 	16
11|12	nam tunc Reges habent felicitatem suo statui debitam, |et condignam, 	Nam tunc reges habent felicitatem suo statui debitam et condignam quando instigante di dilectione 	17
13	quando instigante Dei dilectione 		
14	secundum prudentiam regitiuam, 	secundum prudentiua regnatiuam gentem ⁊̃ 	18
15	gentem sibi commissam 	commissa 	19
16|17	secundum legem, |et rationem sancte, 	secundum legem et rationem sancte 	20
18	et iuste regant. 	et iuste regunt. 	21
19	Principaliter ergo Regum felicitas ponenda est in ipso Deo, 	principaliter igitur regum felicitas ponenda est in ipso deo. 	22
20	et ex cognitione et dilectione eius studium suum, 	et ex cognitione |et dilectione eius suum studium 	23|24
21	et vitam suam ad hoc ordinare debet, 	et suam uitam |ad hoc ordinare debent 	25|26
22	ut cognoscentes, 	ut cognoscentes 	27
23|24	et diligentes Deum, |tanquam veri ministri eius 	et diliguntes deum tanquam uel ministri 	28
		eius 	29
25	secundum ordinem rationis dirigant Populum sibi commissum. 	secundum ordinem rationis dirigant populum |sibi omissum. 	30|31
26	His ergo itaque peractis, 	Hiis igitur ita peractis. 	32
27	et ostenso in quo Reges ponere debeant suum finem secundum ordinem superius praetaxatum, 	et ostenso in quo reges debeant ponere suum finem |secundum ordinem superius praetaxatum. 	33|34
28	restat ostendere quibus virtutibus Reges pollere debeant. 	restat ostendere quibus uirtutibus reges pollere debeant. 	35
29	Virtutes autem quaedam sunt quidam ornatus, 	uirtutes a sunt quidam ornatus 	36
30|31	et quaedam perfectiones animae. |Oportet ergo prius ostendere, 	et quedam perfectioes anime. oportet igitur priusonondere quot sunt potentiae anime 	37
32|33	quot sunt potentiae animae, |et in quibus potentiis habent esse virtutes. Consequenter autem manifestabitur, 	et in quibus potenciis habent esse u̾tutes consequenter autem manifestabitur 	38
34|35	quomodo virtutes sunt distinguendae. Postea vero ostendemus, |quot sunt numero huiusmodi virtutes, 	quo uirtutes sunt distinguende. prate auo ostendemus quot sunt numero huius uirtutes 	39
36	et quae illarum sunt principales, 	et que illarum sunt principales 	40
37	et secundariae. 	et que secundarie. 	41
38	Deinde autem declarabitur singulariter, 	Deinde autem declarabitur singulariter que sit |una 	42|43
39|40	quae sit unaquaeque illarum virtutum, |et quomodo decet Reges, 	quem illarum uirtutum et quomodo decet reges 	44
41	et Principes tales virtutes habere. Potentiae autem animae sic distingui possunt, 	et principes tales uirtutes habere. |potentiae autem anime sic distingui possunt. 	45|46
42	quia potentiae animae quaedam sunt naturales, 	quia quedam sunt naturales. 	47
43	quaedam cognitiuae sensitiuae, 	quedam cognitiue sem sitiue. 	48
44	quaedam appetitiuae, 	quedam appetitiue 	49
45	et quaedam intellectiuae. Naturales potentiae sunt illae, in quibus communicamus cum vegetabilibus, et plantis, 	et quedam intellectiue. |Naturales potentiae sunt ille in quibus communicamus 	50|51
		cum uegetabilibus 	52
46	ut potentia nutritiua, augmentatiua, generatiua, 	et plantis |ut potentia nutritiua. augmentatiua. generatiua. 	53|54
