A	B
0	0
1	1
2	2
3	3
4	4
5	5|6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	
14	14|15
15	16
16	17
17	18
18	19
19	20|21
20	
21	22
22	23|24
23	25
24	26
25	27
26	28
27	29
28	30|31
29	32
30	33
31	34
32	35
33	36
34	37
35	38
36|37	39
38	40
39	41|42
40	43
41	
42|43	44
44	45
45	46
46	47
47	48
48	49
49	50
50	51
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
63|64	64
65	65
66	66
67	67
68	68
69	69
70	70
71	71
72	72|73
73	74
74|75	75
76	76
77	77
78	78
79	79
80	80
81	81
82	82
83	83|84
84	85
85	86
86	87
87	88
88|89	89
90|91	90
92	91
93	92
94	93
95|96	94
97	
98	95
99	96
100	97
101	98
102	99|100
103	101
104	102
105	103
106	104
107	105|106
108	107
109	108
110	109
111	110
112	
113|114	111
115|116	112
117	113
118|119	114
120	115
121|122	116
123|124	117
125	118
126	119
127	120
128	121
129	122
130	123
131	124
132	125
133	126
134	127
135|136	128
137|138	129
139	130
140	131
141	132|133
142	134
143|144	135
145	136
146	137
147	138
148|149	139
150	140
151	141
152	142
153	143
154	144
155	145
156	146
157	147
158	148
159	149
160	150
161	151
162|163	152
164|165	153
166	154
167	155
168	156
169	157
170	158
171	159
172	160
173	161
174	162
175	163
176	164
177	165
178	166
179	167
180	168
181	169
182	170
183	171
184|185	172
186	173
187	174
188	175
189|190	176
191|192	177
193	178
194	179
195|196	180
197	181
198	182
199	183
200	184
201|202	185
203	186
204	187
205	188
206	189
207	190
208	191
209	192
210	193
211	194
212	195
213	196
214	197
215	
216	
217|218	198
219	199
220|221	200
222|223	201
224|225	202
226	203
227	204
228	205
229	206
230	207
