A	B
0	0
1	1
2|3	2
4	
5|6	3
7|8	4
9	5
10	6
11|12	7
13	8
14	9
15|16	10
17|18	11
19	12
20|21	13
22|23	14
24|25	15
26	16
27	17
28	18|19
29|30	20
31	21
32	22|23
33	24
34	25
35	26
36|37	27
38	28
39	29
40	30|31
41	32|33
42|43	34
44	35
45	36
46|47	37
48	38
49	39|40
50	41
51	42
52	43|44
53	45|46
54|55	47
56|57	48
58	49
59|60	50
61|62	51
63|64	52
65|66	53
67	54|55
68	56
69	57
70	58
71	59
72|73	60
74	61
75	62
76|77	63
78	64
79	65
80	66
81|82	67
83	68
84|85	69
86	70|71
87	72
88	73
89	74
90	75
91	76
92	77
93	78|79
94|95	80
96|97	81
98	82
99	83|84
100	85
101|102	86
103	87
104|105	88
106	89
107|108	90
109	91
110|111	92
112	93
113	94
114	95
115	96
116	97
117	98
118	99
119	100
120|121	101
122	102
123|124	103
125|126	104
127	105|106
128	107|108
129	109
130	110
131	111
132|133	112
134|135	113
136	114
137	115|116
138	117
139	118
140|141	119
142	120
143	121|122
144	123
145	124|125
146	126
147	127
148	128|129
149	130
150	131
151	132|133
	134
	135
	136
152	137|138
	139
	140
	141
	142
	143
	144
	145
	146
	147
	148
	149
	150
	151
	152
	153
	154
	155
	156
	157
	158
	159
	160
	161
	162
	163
	164
	165
	166
	167
	168
	169
	170
	171
	172
	173
	174
	175
	176
	177
	178
	179
	180
	181
	182
	183
	184
	185
	186
	187
	188
	189
	190
	191
153	192|193
	194
	195
	196
	197
	198
	199
	200
	201
	202
	203
154	204|205
	206
	207
	208
	209
	210
	211
	212
	213
	214
	215
	216
	217
	218
	219
	220
	221
	222
	223
	224
	225
	226
	227
	228
	229
	230
	231
	232
	233
	234
	235
	236
	237
	238
	239
	240
	241
	242
	243
	244
	245
	246
	247
	248
	249
	250
	251
	252
	253
	254
	255
	256
	257
	258
	259
	260
	261
	262
	263
	264
	265
	266
	267
	268
	269
	270
	271
	272
	273
	274
	275
	276
	277
	278
	279
	280
	281
	282
	283
	284
	285
	286
	287
	288
	289
	290
	291
	292
	293
	294
	295
	296
	297
	298
	299
	300
	301
	302
	303
	304
	305
	306
	307
155	308|309
	310
	311
	312
	313
	314
	315
	316
	317
	318
	319
	320
	321
	322
	323
	324
	325
	326
	327
	328
	329
	330
	331
	332
	333
	334
	335
	336
	337
	338
	339
	340
	341
	342
	343
	344
	345
	346
	347
	348
	349
	350
	351
	352
	353
156	354|355
	356
	357
	358
	359
	360
	361
	362
	363
	364
	365
	366
	367
	368
	369
	370
	371
	372
	373
	374
	375
	376
	377
	378
	379
	380
	381
	382
	383
	384
	385
	386
	387
	388
	389
157	390|391
158	392|393
	394
	395
	396
	397
